"","Months","Total_death"
"737","Apr","0"
"738","Apr","1"
"739","Apr","0"
"740","Apr","0"
"741","Apr","0"
"742","Apr","0"
"743","Apr","2"
"744","Apr","2"
"745","Apr","0"
"746","Apr","0"
"747","Apr","0"
"748","Apr","0"
"749","Apr","1"
"750","Apr","1"
"751","Apr","1"
"752","Apr","0"
"753","Apr","0"
"754","Apr","0"
"755","May","0"
"756","May","0"
"757","May","0"
"758","May","1"
"759","May","0"
"760","May","0"
"761","May","0"
"762","May","1"
"763","May","1"
"764","May","0"
"765","May","0"
"766","May","1"
"767","May","3"
"768","May","0"
"769","May","1"
"770","May","0"
"771","May","0"
"772","May","4"
"773","May","2"
"774","May","0"
"775","May","1"
"776","May","0"
"777","May","1"
"778","May","0"
"779","May","0"
"780","May","0"
"781","May","2"
"782","May","0"
"783","May","2"
"784","Jun","2"
"785","Jun","2"
"786","Jun","1"
"787","Jun","0"
"788","Jun","1"
"789","Jun","0"
"790","Jun","0"
"791","Jun","0"
"792","Jun","0"
"793","Jun","0"
"794","Jun","0"
"795","Jun","0"
"796","Jun","1"
"797","Jun","0"
"798","Jun","0"
"799","Jun","0"
"800","Jun","3"
"801","Jun","0"
"802","Jun","0"
"803","Jun","0"
"804","Jun","1"
"805","Jun","1"
"806","Jun","0"
"807","Jun","0"
"808","Jun","0"
"809","Jun","2"
"810","Jun","0"
"811","Jun","3"
"812","Jun","2"
"813","Jun","0"
"814","Jul","1"
"815","Jul","0"
"816","Jul","1"
"817","Jul","0"
"818","Jul","1"
"819","Jul","0"
"820","Jul","0"
"821","Jul","2"
"822","Jul","0"
"823","Jul","0"
"824","Jul","1"
"825","Jul","0"
"826","Jul","0"
"827","Jul","0"
"828","Jul","0"
"829","Jul","1"
"830","Jul","1"
"831","Jul","2"
"832","Jul","1"
"833","Jul","3"
"834","Jul","1"
"835","Jul","1"
"836","Jul","0"
"837","Jul","0"
"838","Jul","0"
"839","Jul","1"
"840","Jul","3"
"841","Jul","1"
"842","Jul","0"
"843","Jul","0"
"844","Jul","4"
"845","Aug","1"
"846","Aug","3"
"847","Aug","1"
"848","Aug","0"
"849","Aug","0"
"850","Aug","0"
"851","Aug","0"
"852","Aug","0"
"853","Aug","1"
"854","Aug","0"
"855","Aug","0"
"856","Aug","2"
"857","Aug","1"
"858","Aug","2"
"859","Aug","0"
"860","Aug","1"
