"","Years","Total_death"
"1138",2023,1
"1139",2023,0
"1140",2023,0
"1141",2023,1
"1142",2023,0
"1143",2023,0
"1144",2023,1
"1145",2023,0
"1146",2023,0
"1147",2023,2
"1148",2023,1
"1149",2023,0
"1150",2023,0
"1151",2023,0
"1152",2023,0
"1153",2023,0
"1154",2023,0
"1155",2023,1
"1156",2023,0
"1157",2023,0
"1158",2023,1
"1159",2023,0
"1160",2023,1
"1161",2023,0
"1162",2023,0
"1163",2023,0
"1164",2023,0
"1165",2023,2
"1166",2023,0
"1167",2023,1
"1168",2023,1
"1169",2023,0
"1170",2023,0
"1171",2023,0
"1172",2023,0
"1173",2023,0
"1174",2023,0
"1175",2023,0
"1176",2023,2
"1177",2023,0
"1178",2023,1
"1179",2023,0
"1180",2023,0
"1181",2023,0
"1182",2023,1
"1183",2023,0
"1184",2023,0
"1185",2023,0
"1186",2023,0
"1187",2023,0
"1188",2023,0
"1189",2023,0
"1190",2023,0
"1191",2023,0
"1192",2023,1
"1193",2023,1
"1194",2023,0
"1195",2023,0
"1196",2023,0
"1197",2023,0
"1198",2023,0
"1199",2023,1
"1200",2023,0
"1201",2023,1
"1202",2023,0
"1203",2023,0
"1204",2023,2
"1205",2023,0
"1206",2023,0
"1207",2023,0
"1208",2023,0
"1209",2023,0
"1210",2023,1
"1211",2023,1
"1212",2023,0
"1213",2023,1
"1214",2023,1
"1215",2023,0
"1216",2023,0
"1217",2023,0
"1218",2023,0
"1219",2023,0
"1220",2023,0
"1221",2023,0
"1222",2023,0
"1223",2023,0
"1224",2023,0
"1225",2023,0
"1226",2023,0
"1227",2023,2
"1228",2023,0
"1229",2023,0
"1230",2023,0
"1231",2023,0
"1232",2023,0
"1233",2023,0
"1234",2023,0
"1235",2023,0
"1236",2023,1
"1237",2023,0
"1238",2023,1
"1239",2023,0
"1240",2023,0
"1241",2023,0
"1242",2023,0
"1243",2023,0
"1244",2023,0
"1245",2023,0
"1246",2023,0
"1247",2023,0
"1248",2023,0
"1249",2023,0
"1250",2023,1
"1251",2023,0
"1252",2023,0
"1253",2023,0
"1254",2023,1
"1255",2023,1
"1256",2023,1
"1257",2023,0
"1258",2023,0
"1259",2023,0
"1260",2023,0
"1261",2023,0
"1262",2023,0
"1263",2023,0
"1264",2023,1
"1265",2023,0
"1266",2023,0
"1267",2023,0
"1268",2023,0
"1269",2023,0
"1270",2023,0
"1271",2023,0
"1272",2023,0
"1273",2023,1
"1274",2023,0
"1275",2020,0
"1276",2020,1
"1277",2020,0
"1278",2020,0
"1279",2020,0
"1280",2020,0
"1281",2020,0
"1282",2020,0
"1283",2020,0
"1284",2020,1
"1285",2020,0
"1286",2020,0
"1287",2020,0
"1288",2020,1
"1289",2020,1
"1290",2020,1
"1291",2020,0
"1292",2020,1
"1293",2020,2
"1294",2020,2
"1295",2020,0
"1296",2020,1
"1297",2020,2
"1298",2020,2
"1299",2020,1
"1300",2020,1
"1301",2020,1
"1302",2020,2
"1303",2020,1
"1304",2020,1
"1305",2020,0
"1306",2020,0
"1307",2020,1
"1308",2020,0
"1309",2020,0
"1310",2020,0
"1311",2020,1
"1312",2020,1
"1313",2020,1
"1314",2020,0
"1315",2020,0
"1316",2020,0
"1317",2020,0
"1318",2020,0
"1319",2020,1
"1320",2020,0
"1321",2020,0
"1322",2020,0
"1323",2020,1
"1324",2020,0
"1325",2020,2
"1326",2020,0
"1327",2020,1
"1328",2020,0
"1329",2020,0
"1330",2020,0
"1331",2020,0
"1332",2020,0
"1333",2020,0
"1334",2020,0
"1335",2020,0
"1336",2020,0
"1337",2020,0
"1338",2020,0
"1339",2020,0
"1340",2020,0
"1341",2020,0
"1342",2020,0
"1343",2020,0
"1344",2020,0
"1345",2020,0
"1346",2020,0
"1347",2020,0
"1348",2020,0
"1349",2020,0
"1350",2020,0
"1351",2020,1
"1352",2020,0
"1353",2020,1
"1354",2020,0
"1355",2020,0
"1356",2020,0
"1357",2020,0
"1358",2020,0
"1359",2020,0
"1360",2020,0
"1361",2020,0
"1362",2020,0
"1363",2020,0
"1364",2020,1
"1365",2020,0
"1366",2020,0
"1367",2020,0
"1368",2020,0
"1369",2020,1
"1370",2020,1
"1371",2020,0
"1372",2020,0
"1373",2020,0
"1374",2020,1
"1375",2020,1
"1376",2020,1
"1377",2020,3
"1378",2020,1
"1379",2020,1
"1380",2020,0
"1381",2020,1
"1382",2020,2
"1383",2020,2
"1384",2020,2
"1385",2020,2
"1386",2020,2
"1387",2020,3
"1388",2020,4
"1389",2020,3
"1390",2020,4
"1391",2020,3
"1392",2020,2
"1393",2020,2
"1394",2020,3
"1395",2020,2
"1396",2020,2
"1397",2020,0
"1398",2020,2
"1399",2020,4
"1400",2020,4
"1401",2020,2
"1402",2020,2
"1403",2020,4
"1404",2020,3
"1405",2020,3
"1406",2020,4
"1407",2020,1
"1408",2020,1
"1409",2020,4
"1410",2020,3
"1411",2020,3
"1412",2020,5
"1413",2020,6
"1414",2020,4
"1415",2020,6
"1416",2020,4
"1417",2020,2
"1418",2020,4
"1419",2020,3
"1420",2020,4
"1421",2020,5
"1422",2020,6
"1423",2020,4
"1424",2020,6
"1425",2020,6
"1426",2020,1
"1427",2020,4
"1428",2020,6
"1429",2020,1
"1430",2020,5
"1431",2020,3
"1432",2020,5
"1433",2020,6
"1434",2020,6
"1435",2020,3
"1436",2020,2
"1437",2020,2
"1438",2020,2
"1439",2020,4
"1440",2020,2
"1441",2020,5
"1442",2020,5
"1443",2020,4
"1444",2020,5
"1445",2020,4
"1446",2020,3
"1447",2020,5
"1448",2020,4
"1449",2020,5
"1450",2020,4
"1451",2020,6
"1452",2020,6
"1453",2020,5
"1454",2020,5
"1455",2020,6
"1456",2020,4
"1457",2020,3
"1458",2020,2
"1459",2020,1
"1460",2020,2
"1461",2020,3
"1462",2020,3
"1463",2020,4
"1464",2020,4
"1465",2020,2
"1466",2020,3
"1467",2020,5
"1468",2020,5
"1469",2020,5
"1470",2020,4
"1471",2020,2
"1472",2020,3
"1473",2020,3
"1474",2020,0
"1475",2020,3
"1476",2020,2
"1477",2020,2
"1478",2020,3
"1479",2020,4
"1480",2020,3
"1481",2020,1
"1482",2020,1
"1483",2020,3
"1484",2020,4
"1485",2020,4
"1486",2020,3
"1487",2020,4
"1488",2020,4
"1489",2020,2
"1490",2020,3
"1491",2020,4
"1492",2020,4
"1493",2020,5
"1494",2020,5
"1495",2020,5
"1496",2020,4
"1497",2020,5
"1498",2020,3
"1499",2020,3
"1500",2020,4
"1501",2020,4
"1502",2020,3
"1503",2020,4
"1504",2020,4
"1505",2020,4
"1506",2020,3
"1507",2020,7
"1508",2020,6
"1509",2020,6
"1510",2020,3
"1511",2020,7
"1512",2020,9
"1513",2020,9
"1514",2020,5
"1515",2020,4
"1516",2020,7
"1517",2020,6
"1518",2020,8
"1519",2020,2
"1520",2020,12
"1521",2020,8
"1522",2020,11
"1523",2020,8
"1524",2020,7
"1525",2020,7
"1526",2020,11
"1527",2020,8
"1528",2020,6
"1529",2020,9
"1530",2020,11
"1531",2020,15
"1532",2020,13
"1533",2020,14
"1534",2020,17
"1535",2020,19
"1536",2020,8
"1537",2020,10
"1538",2020,18
"1539",2020,16
"1540",2020,11
"1541",2020,12
"1542",2020,12
"1543",2020,17
"1544",2020,13
"1545",2020,18
"1546",2020,19
"1547",2020,16
"1548",2020,17
"1549",2020,14
"1550",2020,15
"1551",2020,14
"1552",2020,12
"1553",2020,12
"1554",2020,14
"1555",2020,13
"1556",2020,12
"1557",2020,12
"1558",2020,15
"1559",2020,11
"1560",2020,8
"1561",2020,14
"1562",2020,10
"1563",2020,13
"1564",2020,6
"1565",2020,8
"1566",2020,9
"1567",2020,9
"1568",2020,10
"1569",2020,11
"1570",2020,6
"1571",2021,4
"1572",2021,7
"1573",2021,5
"1574",2021,4
"1575",2021,3
"1576",2021,6
"1577",2021,11
"1578",2021,7
"1579",2021,6
"1580",2021,7
"1581",2021,3
"1582",2021,8
"1583",2021,6
"1584",2021,5
"1585",2021,4
"1586",2021,5
"1587",2021,4
"1588",2021,5
"1589",2021,7
"1590",2021,4
"1591",2021,6
"1592",2021,4
"1593",2021,5
"1594",2021,7
"1595",2021,7
"1596",2021,5
"1597",2021,9
"1598",2021,8
"1599",2021,7
"1600",2021,11
"1601",2021,8
"1602",2021,11
"1603",2021,11
"1604",2021,13
"1605",2021,5
"1606",2021,6
"1607",2021,14
"1608",2021,15
"1609",2021,13
"1610",2021,14
"1611",2021,12
